name,batting_team,opposing_team,opposing_sp_name,sp_xbaa_source,batter_xba,sp_xbaa,bullpen_xbaa,vs_sp_log5,vs_bullpen_log5,games_played,at_bats,ab_per_game,sp_abs,bp_abs,hit_probability
Alec Bohm,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.239,0.227,0.20746757164404225,0.2185,0.1995,68,247,3.632,2.0,1.632,0.5752
Brandon Marsh,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.291,0.227,0.20746757164404225,0.2677,0.2457,67,241,3.597,2.0,1.597,0.6582
Bryce Harper,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.286,0.227,0.20746757164404225,0.2629,0.2412,72,249,3.458,2.0,1.458,0.6367
Bryson Stott,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.254,0.227,0.20746757164404225,0.2326,0.2128,66,226,3.424,2.0,1.424,0.5811
Justin Crawford,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.233,0.227,0.20746757164404225,0.2129,0.1943,66,199,3.015,2.0,1.015,0.5025
Kyle Schwarber,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.243,0.227,0.20746757164404225,0.2223,0.2031,69,263,3.812,2.0,1.812,0.5992
Trea Turner,Philadelphia Phillies,Miami Marlins,Tyler Phillips,sp,0.23,0.227,0.20746757164404225,0.2101,0.1917,71,291,4.099,2.0,2.099,0.6008
Connor Norby,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.184,0.231,0.21988751406074242,0.1704,0.1616,60,185,3.083,2.0,1.083,0.4314
Jakob Marsee,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.22,0.231,0.21988751406074242,0.2044,0.1942,71,244,3.437,2.0,1.437,0.5359
Javier Sanoja,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.235,0.231,0.21988751406074242,0.2186,0.208,56,157,2.804,2.0,0.804,0.4938
Liam Hicks,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.254,0.231,0.21988751406074242,0.2367,0.2254,70,235,3.357,2.0,1.357,0.588
Otto Lopez,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.292,0.231,0.21988751406074242,0.2731,0.2606,72,286,3.972,2.0,1.972,0.7087
Owen Caissie,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.201,0.231,0.21988751406074242,0.1864,0.177,62,172,2.774,2.0,0.774,0.4307
Xavier Edwards,Miami Marlins,Philadelphia Phillies,Jesús Luzardo,sp,0.275,0.231,0.21988751406074242,0.2568,0.2448,73,267,3.658,2.0,1.658,0.6532
CJ Abrams,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.262,0.254,0.2399257907542579,0.2682,0.2536,71,263,3.704,2.0,1.704,0.6747
Curtis Mead,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.262,0.254,0.2399257907542579,0.2682,0.2536,57,175,3.07,2.0,1.07,0.6084
Daylen Lile,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.263,0.254,0.2399257907542579,0.2692,0.2546,72,285,3.958,2.0,1.958,0.6996
Jacob Young,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.258,0.254,0.2399257907542579,0.2642,0.2497,71,222,3.127,2.0,1.127,0.6083
James Wood,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.283,0.254,0.2399257907542579,0.2895,0.2742,73,277,3.795,2.0,1.795,0.716
Luis García Jr.,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.279,0.254,0.2399257907542579,0.2855,0.2703,67,224,3.343,2.0,1.343,0.6656
Nasim Nuñez,Washington Nationals,Kansas City Royals,Michael Wacha,sp,0.218,0.254,0.2399257907542579,0.2235,0.2106,67,201,3.0,2.0,1.0,0.524
Bobby Witt Jr.,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.3,0.247,0.24299745870393902,0.2989,0.2944,73,289,3.959,2.0,1.959,0.7518
Carter Jensen,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.2,0.247,0.24299745870393902,0.1991,0.1957,67,222,3.313,2.0,1.313,0.5181
Isaac Collins,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.219,0.247,0.24299745870393902,0.2181,0.2144,64,197,3.078,2.0,1.078,0.5287
Jac Caglianone,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.272,0.247,0.24299745870393902,0.2709,0.2667,67,223,3.328,2.0,1.328,0.6479
Lane Thomas,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.226,0.247,0.24299745870393902,0.2251,0.2213,58,139,2.397,2.0,0.397,0.4563
Maikel Garcia,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.276,0.247,0.24299745870393902,0.2749,0.2706,66,258,3.909,2.0,1.909,0.7121
Michael Massey,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.226,0.247,0.24299745870393902,0.2251,0.2213,55,156,2.836,2.0,0.836,0.5128
Salvador Perez,Kansas City Royals,Washington Nationals,Foster Griffin,sp,0.223,0.247,0.24299745870393902,0.2221,0.2184,67,261,3.896,2.0,1.896,0.6207
Caleb Durbin,Boston Red Sox,Toronto Blue Jays,Dylan Cease,sp,0.235,0.204,0.2245266955266955,0.1927,0.2124,63,201,3.19,2.0,1.19,0.5095
Ceddanne Rafaela,Boston Red Sox,Toronto Blue Jays,Dylan Cease,sp,0.244,0.204,0.2245266955266955,0.2005,0.2208,66,238,3.606,2.0,1.606,0.5718
Jarren Duran,Boston Red Sox,Toronto Blue Jays,Dylan Cease,sp,0.226,0.204,0.2245266955266955,0.1849,0.204,64,261,4.078,2.0,2.078,0.5865
Marcelo Mayer,Boston Red Sox,Toronto Blue Jays,Dylan Cease,sp,0.204,0.204,0.2245266955266955,0.1661,0.1837,62,180,2.903,2.0,0.903,0.4211
